best_epoch,training mae loss,validation mae loss,training time,validation time
1,1.1255749102643857,"tensor(0.9885, dtype=torch.float64)",0:02:13,0:00:23
2,1.0786247672396831,"tensor(0.9807, dtype=torch.float64)",0:02:15,0:00:23
3,1.0450413161871621,"tensor(0.9729, dtype=torch.float64)",0:02:14,0:00:22
4,1.0104310902976708,"tensor(0.9311, dtype=torch.float64)",0:02:13,0:00:22
5,0.9726824864900329,"tensor(0.8889, dtype=torch.float64)",0:02:13,0:00:22
6,0.9078973605061031,"tensor(0.8356, dtype=torch.float64)",0:02:13,0:00:23
7,0.8281049506727703,"tensor(0.7319, dtype=torch.float64)",0:02:13,0:00:22
8,0.7726336042056711,"tensor(0.6914, dtype=torch.float64)",0:02:13,0:00:22
9,0.728699928032122,"tensor(0.6571, dtype=torch.float64)",0:02:13,0:00:22
10,0.6942216723728776,"tensor(0.6384, dtype=torch.float64)",0:02:13,0:00:22
12,0.6554196365244153,"tensor(0.6245, dtype=torch.float64)",0:02:13,0:00:22
13,0.6397357933119141,"tensor(0.6060, dtype=torch.float64)",0:02:13,0:00:22
14,0.6292596181722866,"tensor(0.5995, dtype=torch.float64)",0:02:13,0:00:22
17,0.601271573499302,"tensor(0.5993, dtype=torch.float64)",0:02:13,0:00:22
19,0.5777300406774849,"tensor(0.5913, dtype=torch.float64)",0:02:13,0:00:22
20,0.5708902262915889,"tensor(0.5801, dtype=torch.float64)",0:02:13,0:00:23
22,0.5535327780572894,"tensor(0.5754, dtype=torch.float64)",0:02:13,0:00:22
23,0.5455001120311351,"tensor(0.5690, dtype=torch.float64)",0:02:13,0:00:22
24,0.5444042052453677,"tensor(0.5676, dtype=torch.float64)",0:02:13,0:00:22
25,0.5395303785611382,"tensor(0.5625, dtype=torch.float64)",0:02:13,0:00:22
28,0.5061436740087872,"tensor(0.5483, dtype=torch.float64)",0:02:13,0:00:22
30,0.49100083446540016,"tensor(0.5387, dtype=torch.float64)",0:02:13,0:00:22
34,0.45743945238514955,"tensor(0.5347, dtype=torch.float64)",0:02:13,0:00:22
38,0.44049278124779956,"tensor(0.5314, dtype=torch.float64)",0:02:13,0:00:22
39,0.43419641548090143,"tensor(0.5260, dtype=torch.float64)",0:02:13,0:00:22
49,0.3713827569999785,"tensor(0.5215, dtype=torch.float64)",0:02:13,0:00:22
50,0.3652248417744474,"tensor(0.5175, dtype=torch.float64)",0:02:13,0:00:22
56,0.32356592963718667,"tensor(0.5147, dtype=torch.float64)",0:02:13,0:00:22
65,0.28265366572335265,"tensor(0.5001, dtype=torch.float64)",0:02:13,0:00:22
68,0.26734871590845366,"tensor(0.4954, dtype=torch.float64)",0:02:13,0:00:22
75,0.24027122973074433,"tensor(0.4943, dtype=torch.float64)",0:02:13,0:00:22
77,0.23266787388229668,"tensor(0.4930, dtype=torch.float64)",0:02:13,0:00:22
82,0.21903048575724102,"tensor(0.4926, dtype=torch.float64)",0:02:13,0:00:22
