best_epoch,training mae loss,validation mae loss,training time,validation time
1,1.146621733655548,"tensor(1.0403, dtype=torch.float64)",0:00:16,0:00:02
2,1.1127343157493064,"tensor(1.0103, dtype=torch.float64)",0:00:15,0:00:02
3,1.092272686693343,"tensor(1.0070, dtype=torch.float64)",0:00:15,0:00:02
4,1.0697280298758043,"tensor(1.0033, dtype=torch.float64)",0:00:16,0:00:02
5,1.0544611606285343,"tensor(0.9922, dtype=torch.float64)",0:00:16,0:00:02
6,1.0402067346468795,"tensor(0.9862, dtype=torch.float64)",0:00:16,0:00:02
7,1.0228487258725762,"tensor(0.9548, dtype=torch.float64)",0:00:16,0:00:02
8,0.9985838102129515,"tensor(0.9288, dtype=torch.float64)",0:00:16,0:00:02
9,0.9617353941575376,"tensor(0.8604, dtype=torch.float64)",0:00:16,0:00:02
10,0.8845028512471627,"tensor(0.8108, dtype=torch.float64)",0:00:16,0:00:02
11,0.8256756688836905,"tensor(0.7463, dtype=torch.float64)",0:00:16,0:00:02
12,0.7855298504461337,"tensor(0.7319, dtype=torch.float64)",0:00:16,0:00:02
14,0.7330505076649791,"tensor(0.7009, dtype=torch.float64)",0:00:16,0:00:02
15,0.7017004971940667,"tensor(0.6491, dtype=torch.float64)",0:00:16,0:00:02
17,0.6818722228617674,"tensor(0.6361, dtype=torch.float64)",0:00:16,0:00:02
18,0.6589750606148245,"tensor(0.6327, dtype=torch.float64)",0:00:16,0:00:02
19,0.6517333226343452,"tensor(0.6306, dtype=torch.float64)",0:00:16,0:00:02
20,0.6354834079561434,"tensor(0.6155, dtype=torch.float64)",0:00:16,0:00:02
24,0.5983838979251735,"tensor(0.5991, dtype=torch.float64)",0:00:16,0:00:02
26,0.5804292629007451,"tensor(0.5963, dtype=torch.float64)",0:00:16,0:00:02
31,0.5414702042314706,"tensor(0.5925, dtype=torch.float64)",0:00:16,0:00:02
32,0.5363036687182082,"tensor(0.5920, dtype=torch.float64)",0:00:16,0:00:02
34,0.5278477419953697,"tensor(0.5824, dtype=torch.float64)",0:00:16,0:00:02
37,0.5036855114152523,"tensor(0.5815, dtype=torch.float64)",0:00:16,0:00:02
46,0.4515592010657926,"tensor(0.5701, dtype=torch.float64)",0:00:16,0:00:02
47,0.43996950377580846,"tensor(0.5625, dtype=torch.float64)",0:00:16,0:00:02
50,0.42459096511743283,"tensor(0.5596, dtype=torch.float64)",0:00:16,0:00:02
53,0.4200433530494942,"tensor(0.5532, dtype=torch.float64)",0:00:16,0:00:02
59,0.38678191137843304,"tensor(0.5484, dtype=torch.float64)",0:00:16,0:00:02
60,0.37594619520758454,"tensor(0.5466, dtype=torch.float64)",0:00:16,0:00:02
65,0.3558447123004309,"tensor(0.5427, dtype=torch.float64)",0:00:16,0:00:02
73,0.31786897835049777,"tensor(0.5418, dtype=torch.float64)",0:00:16,0:00:02
75,0.3125361922957562,"tensor(0.5392, dtype=torch.float64)",0:00:16,0:00:02
82,0.2875616764825251,"tensor(0.5363, dtype=torch.float64)",0:00:16,0:00:02
83,0.2900391735854335,"tensor(0.5352, dtype=torch.float64)",0:00:16,0:00:02
